model,scheme,regime,n_observations,rmse,mae,mase,r2,small_sample
arima,expanding_window,Brexit Transition,8,0.3253342427198591,0.2903132128108873,0.25266166985247873,-1.8224631862961123,True
arima,expanding_window,COVID-19 Shock,6,25.10594498947503,18.049536619868878,15.708641085551413,-4.083212563217539,True
arima,expanding_window,Post-COVID Recovery,18,1.1570844719138145,0.6966593732954764,0.6063076457008413,-3.9831775984684556,False
arima,regime_aligned,Brexit Transition,42,0.30459878017525205,0.26210464116427823,0.22811154777095888,0.026500979158816995,False
arima,regime_aligned,COVID-19 Shock,24,25.105944989475027,18.049536619868874,15.708641085551411,-4.083212563217539,False
arima,regime_aligned,Global Financial Crisis,6,0.9647853382511345,0.8365198026180835,0.7280291797529396,-0.24292236500581654,True
arima,regime_aligned,Post-COVID Recovery,90,1.1570844719138147,0.6966593732954764,0.6063076457008413,-3.9831775984684574,False
arima,regime_aligned,Post-GFC Recovery,54,0.46080926608674233,0.3354486233726754,0.29194334116051956,-0.8695608213721271,False
lightgbm,expanding_window,Brexit Transition,8,0.3345150067182484,0.27639459814452194,0.24054819975035188,-1.9840077258589277,True
lightgbm,expanding_window,COVID-19 Shock,6,11.146891867257287,8.298833192172365,7.222534006839431,-0.0020576350461944948,True
lightgbm,expanding_window,Post-COVID Recovery,18,0.835050401000682,0.5973893133013294,0.5199122009960375,-1.595383937926405,False
lightgbm,regime_aligned,Brexit Transition,42,0.35834186678304925,0.3018813621974849,0.26272951317528553,-0.3473310023529914,False
lightgbm,regime_aligned,COVID-19 Shock,24,11.14154120563297,8.20675138746192,7.142394552227951,-0.0010958630008595094,False
lightgbm,regime_aligned,Global Financial Crisis,6,1.871917474069936,1.6652058573288249,1.4492405925558034,-3.6790319388064274,True
lightgbm,regime_aligned,Post-COVID Recovery,90,0.6043180323007847,0.455991136249497,0.3968523540737943,-0.3592750381286747,False
lightgbm,regime_aligned,Post-GFC Recovery,54,0.4395848788339436,0.3465644326746245,0.30161750966562884,-0.7013069697451828,False
ridge,expanding_window,Brexit Transition,8,0.32341716292726874,0.29236420987462985,0.2544466672970328,-1.7892976340246265,True
ridge,expanding_window,COVID-19 Shock,6,12.044920147458532,8.34209742871601,7.260187181988337,-0.17001916448319943,True
ridge,expanding_window,Post-COVID Recovery,18,1.7380790096617227,1.0455059870153693,0.9099113538870962,-10.243855721997045,False
ridge,regime_aligned,Brexit Transition,42,0.3176088727435724,0.2667684213998339,0.23217046913637424,-0.05843563302498844,False
ridge,regime_aligned,COVID-19 Shock,24,11.896144323408718,8.667570778349452,7.543448970918465,-0.14129410440605072,False
ridge,regime_aligned,Global Financial Crisis,6,1.7967462100395453,1.5949805983877205,1.3881230463783918,-3.310782268490092,True
ridge,regime_aligned,Post-COVID Recovery,90,1.2184467439939026,0.7105976054330045,0.6184381890287242,-4.525725900236498,False
ridge,regime_aligned,Post-GFC Recovery,54,0.4889071265967015,0.37420187089631546,0.3256705702339947,-1.1045048318913575,False
xgboost,expanding_window,Brexit Transition,8,0.33674005406846996,0.2962272219359875,0.25780867438114957,-2.0238363737076286,True
xgboost,expanding_window,COVID-19 Shock,6,11.19429933950551,8.331240530808765,7.2507383459257175,-0.010599215778098525,True
xgboost,expanding_window,Post-COVID Recovery,18,0.5093788677444453,0.4215362995862961,0.3668660627798823,0.03426475343946378,False
xgboost,regime_aligned,Brexit Transition,42,0.3127911893064947,0.2619393821273531,0.22796772164667253,-0.02656918143057796,False
xgboost,regime_aligned,COVID-19 Shock,24,11.181767039763505,8.262580640365679,7.190983151171496,-0.008337699904679141,False
xgboost,regime_aligned,Global Financial Crisis,6,1.8772249628344568,1.682383938630422,1.4641907998319375,-3.705602678011787,True
xgboost,regime_aligned,Post-COVID Recovery,90,0.5431748423969434,0.43501733147435717,0.3785987014537921,-0.09813448190458307,False
xgboost,regime_aligned,Post-GFC Recovery,54,0.4264888710239668,0.33745463093121847,0.29368918391624815,-0.6014471006186004,False
